Noob:
кот;домашний питомец, мурлыкает
собака;верный друг человека
лев;царь зверей
тигр;полосатый хищник
слон;имеет хобот
волк;санитар леса
лиса;хитрый рыжий зверь
енот;полоскун, маска
жаба;бородавчатая, квакает
утка;крякает, летает
гусь;пернатый гогочет
ослик;серый, упрямый
коза;бодается, дает молоко
овца;стадное, стригут шерсть
бык;рогатый, сильный
конь;скачет, копыта
олень;ветвистые рога
кит;огромный морской житель
акула;морской хищник
бобр;строит плотины
сова;ночная птица
орел;гордая хищная птица
сокол;быстрый хищник
голубь;городская птица
воробей;маленький чирик
белка;грызет орешки
еж;колючий, сворачивается
заяц;длинные уши
кролик;пушистый, роет норы
мышка;маленький грызун

Easy:
песец;полярная лисица
шакал;падальщик, воет
гиена;пятнистая, смеется
буйвол;мощные рога
лама;плюется, в Андах
верблюд;корабль пустыни
панда;ест бамбук
коала;спит на эвкалипте
леопард;пятнистый, лазает
гепард;самое быстрое животное
бегемот;речной великан
носорог;толстокожий, с рогом
жираф;длинная шея
зебра;черно-белые полосы
кенгуру;прыгает, с сумкой
павлин;распускает хвост
норка;ценный мех
росомаха;сильный хищник севера
сурикат;стоит столбиком
мангуст;охотится на змей
тапир;хоботок на носу
альпака;дает шерсть
фламинго;розовая птица
пеликан;птица с мешком
страус;самая большая птица
эму;большая нелетающая птица
варан;крупная ящерица
игуана;травоядная ящерица
хамелеон;меняет цвет
питон;удав, душит добычу
гадюка;ядовитая змея
дельфин;умный морской житель
морж;имеет клыки
тюлень;ластоногое
выдра;играет, ест рыбу
хомяк;запасает еду
сурок;свистит, спит зимой
барсук;роет норы
куница;проворный хищник
горностай;белый зимой
ласка;самый маленький хищник
хорек;пахнет, копает
дикобраз;колючий грызун
муравьед;длинный нос, язык
мандаринка;яркая утка
попугай;говорящая птица
колибри;маленькая, трепещет
песчанка;пустынный грызун
тушканчик;длинные ноги, прыгает
ондатра;водяной грызун

Medium:
бабирусса;олень со свиной головой
геренук;жирафовая газель
куду;африканская антилопа
нильгау;индийская антилопа
окапи;родственник жирафа
кабарга;олень с клыками
ягуар;хищник с розетками
пума;горный лев
ягуарунди;длинное тело, кошка
сервал;длинноногий охотник
каракал;кошка с кисточками
манул;самый пушистый кот
бантенг;дикий азиатский бык
гаур;крупный дикий бык
коати;носатый енот
тамандуа;муравьед с хвостом
ленивец;виснет на дереве
армадилл;броненосец, сворачивается
тенрек;мадагаскарский еж
валлаби;маленький кенгуру
вомбат;роет норы, сумчатое
поссум;древесное сумчатое
генета;хищник, похож на кошку
цивета;пахуч, дает кофе
трубкозуб;свинья-муравьед
ехидна;колючая, откладывает яйца
утконос;клюв, откладывает яйца
киви;нелетающая птица НЗ
какапо;совиный попугай
квезаль;священная птица майя
дурианг;шерстокрыл, планирует
галаго;африканский долгопят
дюгонь;морская корова
ламантин;травоядный морской гигант
белуха;белый кит, поет
косатка;кит-убийца
нутрия;болотный бобр
бинтуронг;пахнет попкорном
капибара;самый большой грызун
агама;ящерица с гребнем
василиск;бегает по воде
кондор;крупная хищная птица
калао;птица-носорог
тоди;мелкая яркая птица
трубач;птица, трубит
молох;колючая ящерица
анаконда;самая тяжелая змея
кобра;ядовитая, капюшон
скат;плавает, словно птица
каракатица;меняет цвет, чернила

Hard:
звездонос;крот со звездой на носу
щелезуб;ядовитый насекомоядный
выхухоль;водяной крот
беттонга;кенгуровая крыса
нумбат;сумчатый муравьед
мирмекобиус;полосатый муравьед
потору;крысиный кенгуру
квокка;самое счастливое животное
билби;кроличий бандикут
гунди;скальный грызун
пекари;свинья Нового Света
пака;крупный пятнистый грызун
агути;похож на морскую свинку
мара;патагонский заяц
вискаша;горный грызун
долгопят;большие глаза
тарсиер;ночной примат
лорис;медленный примат
