Noob:
Москва;столица России, Кремль
Питер;северная столица, Эрмитаж
Париж;Эйфелева башня, мода
Лондон;Биг-Бен, туманный альбион
Рим;вечный город, Колизей
Киев;мать городов русских
Минск;столица Беларуси
Сочи;курорт на Черном море
Казань;столица Татарстана, мечеть
Волгоград;город-герой, Волга
Вена;столица Австрии, вальс
Прага;столица Чехии, Карлов мост
Милан;мода, собор Дуомо
Осло;столица Норвегии, фьорды
Китай;самая населенная страна
Япония;страна восходящего солнца
Индия;родина чая, Болливуд
Египет;пирамиды, Нил
Италия;форма сапога, паста
Испания;коррида, фламенко
Греция;Олимп, Акрополь
Франция;Бастилия, вино
Польша;Варшава, Балтийское море
Норвегия;фьорды, викинги
Финляндия;страна тысячи озер
Турция;Стамбул, связь Европы и Азии
Бразилия;карнавал, Амазонка
Аргентина;танго, Буэнос-Айрес
Канада;кленовый лист
Америка;США, статуя Свободы

Easy:
Омск;город в Сибири, Иртыш
Тула;самовары, пряники
Ярославль;Золотое кольцо, Волга
Владимир;Золотое кольцо, Успенский собор
Кострома;Золотое кольцо, Снегурочка
Иваново;город невест
Брянск;город в западной России
Смоленск;древний город, крепость
Тверь;город на Волге
Курск;Курская дуга, соловьи
Белгород;близко к Украине
Рязань;город, родина Есенина
Липецк;металлургический центр
Тамбов;волк, тамбовский
Пенза;город на Суре
Ульяновск;родина Ленина
Чебоксары;столица Чувашии, Волга
Саранск;столица Мордовии
Йошкар-Ола;столица Марий Эл
Киров;город, родина Дымки
Ижевск;столица Удмуртии, оружие
Пермь;город на Урале, Кама
Оренбург;степи, пуховый платок
Уфа;столица Башкирии
Калуга;родина космонавтики
Тула;город оружейников
Астрахань;юг России, арбузы
Мурманск;порт в Арктике
Петрозаводск;столица Карелии, Онега
Сыктывкар;столица Коми
Калининград;российский эксклав
Владивосток;порт на Тихом океане
Хабаровск;город на Амуре
Красноярск;город в Сибири, Енисей
Новосибирск;столица Сибири
Екатеринбург;столица Урала
Челябинск;Танкоград, Южный Урал
Ростов-на-Дону;южная столица, Дон
Краснодар;столица Кубани
Ставрополь;город на Кавказе
Вологда;кружева, север
Архангельск;порт на Белом море
Кемерово;город в Кузбассе
Томск;сибирский студенческий город
Барнаул;город на Алтае
Иркутск;ворота к Байкалу
Чита;город в Забайкалье
Улан-Удэ;столица Бурятии
Кызыл;центр Азии
Абакан;столица Хакасии

Medium:
Астана;столица Казахстана
Бишкек;столица Киргизии
Душанбе;столица Таджикистана
Баку;столица Азербайджана, нефть
Ереван;столица Армении, Арарат
Тбилиси;столица Грузии, Старый город
Кишинев;столица Молдовы
Вильнюс;столица Литвы
Рига;столица Латвии, Юрмала
Таллин;столица Эстонии, Старый город
Киев;столица Украины
Харьков;второй город Украины
Одесса;жемчужина у моря
Львов;западная Украина, кофе
Днепр;город на Днепре
Запорожье;город, ДнепроГЭС
Донецк;угольный бассейн
Гомель;город в Беларуси, Сож
Витебск;город, родина Шагала
