Noob:
Нил;самая длинная река
Волга;великая русская река
Дон;река на юге России
Обь;сибирская река
Амур;река на Дальнем Востоке
Урал;река, разделяющая Европу и Азию
Альпы;горы в Европе
Байкал;самое глубокое озеро
Ладога;самое большое озеро в Европе
Тихий_океан;самый большой океан
Атлантический_океан;океан между Америкой и Европой
Индийский_океан;океан, омывающий Индию
Черное_море;море на юге России
Средиземное_море;море между Европой и Африкой
Красное_море;море между Аравией и Африкой
Балтийское_море;море на севере Европы
Эверест;самая высокая гора
Эльбрус;высшая точка России
Крым;полуостров на Черном море
Кавказ;горная система на юге
Сахара;самая большая пустыня
Гоби;пустыня в Азии
Кама;крупный приток Волги
Ока;крупный приток Волги
Енисей;великая сибирская река
Лена;великая сибирская река
Днепр;река в Восточной Европе
Дунай;река в Европе
Рейн;река в Западной Европе
Темза;река в Англии

Easy:
Амазонка;самая полноводная река
Миссисипи;великая река Америки
Конго;река в Африке
Нигер;река в Западной Африке
Замбези;река в Африке, водопад Виктория
Дарлинг;река в Австралии
Меконг;река в Юго-Восточной Азии
Ганг;священная река Индии
Инди;река в Пакистане
Брахмапутра;река в Азии
Ориноко;река в Южной Америке
Лимпопо;река в Африке
Аральское_море;высыхающее море-озеро
Охотское_море;море у восточной России
Японское_море;море между Японией и материком
Берингово_море;море между Россией и Аляской
Баренцево_море;море в Арктике
Карибское_море;море в Вест-Индии
Мраморное_море;малое море у Турции
Эгейское_море;море в Греции
Тасманово_море;море между Австралией и Новой Зеландией
Килиманджаро;вулкан в Африке
Монблан;высшая точка Альп
Фудзияма;вулкан в Японии
Казбек;гора на Кавказе
Аконкагуа;высшая точка Южной Америки
Мак-Кинли;высшая точка Северной Америки
Винсон;массив в Антарктиде
Атакама;пустыня в Чили
Каракумы;пустыня в Туркменистане
Кызылкум;пустыня в Узбекистане
Аппалачи;горы в Северной Америке
Анды;горы в Южной Америке
Кордильеры;горы в Северной Америке
Карпаты;горы в Европе
Пиренеи;горы между Францией и Испанией
Алтай;горы в Азии
Саяны;горы в Сибири
Тянь-Шань;горы в Центральной Азии
Гималаи;высочайшая горная система
Большой_Барьерный_риф;коралловый риф в Австралии
Гренландия;самый большой остров
Мадагаскар;остров у Африки
Исландия;остров в Атлантике
Куба;остров в Карибском море
Ява;остров в Индонезии
Суматра;остров в Индонезии
Камчатка;полуостров в России
Сахалин;остров у восточной России

Medium:
Ангара;река, вытекает из Байкала
Печора;река на севере России
Десна;приток Днепра
Припять;река в Беларуси
Западная_Двина;река в Прибалтике
Висла;река в Польше
Одер;река в Центральной Европе
