Noob:
роза;цветок с шипами
дуб;крепкое дерево, желуди
клен;дерево с резными листьями
береза;белоствольное дерево
сосна;хвойное дерево, шишки
яблоня;плодовое дерево
груша;плодовое дерево
вишня;плодовое дерево
слива;плодовое дерево
осина;дрожащие листья
липа;медоносное дерево
ель;хвойное дерево, иголки
пихта;хвойное дерево
тополь;высокое дерево, пух
ива;плакучее дерево
рябина;дерево с красными ягодами
сирень;душистые соцветия
одуванчик;желтый цветок, пушинки
ромашка;лекарственный цветок
подсолнух;солнечный цветок, семечки
колокольчик;цветок в форме колокола
мак;красный цветок
крапива;жгучее растение
лопух;цепкие соцветия
подорожник;растет вдоль дорог
клевер;трилистник, цветочки-шарики
лютик;желтый цветок, ядовит
папоротник;споровое растение, перья
мох;зеленый ковер на земле

Easy:
ель;хвойное дерево
сосна;хвойное дерево
лиственница;хвойное дерево, сбрасывает иголки
можжевельник;хвойный кустарник
каштан;дерево с колючими плодами
ясень;дерево с перистыми листьями
вяз;дерево с неравнобокими листьями
бук;дерево с гладкой корой
граб;дерево с серой корой
ольха;дерево у воды
черемуха;дерево с душистыми цветами
боярышник;колючий кустарник
калина;кустарник с красными ягодами
жимолость;вьющееся растение
жасмин;душистые цветы
акация;дерево с шипами
барбарис;колючий кустарник, кислые ягоды
шиповник;дикая роза
облепиха;колючий кустарник, масло
крыжовник;колючий кустарник, ягоды
смородина;кустарник, ягоды
малина;кустарник, ягоды
ежевика;колючий кустарник, ягоды
земляника;лесная ягода
черника;лесная ягода
брусника;вечнозеленый кустарник, ягоды
клюква;болотная ягода
мята;ароматная трава
мелисса;лимонная мята
чабрец;пряная трава
базилик;пряная трава
укроп;ароматная зелень
петрушка;огородная зелень
салат;листовой овощ
щавель;кислый лист
ревень;овощ с толстыми черешками
спаржа;овощ, побеги
артишок;овощ, нераскрывшееся соцветие
баклажан;овощ, синенький
кабачок;овощ, тыквенный
тыква;большой овощ
редис;корнеплод, острый
редька;корнеплод, горький
свекла;корнеплод, борщ
морковь;корнеплод, оранжевый
картофель;клубень, второй хлеб
горох;бобовая культура
