Noob:
атом;мельчайшая частица
газ;летучее состояние
вода;прозрачная жидкость
лед;твердая вода
пар;газообразная вода
соль;белые кристаллы, NaCl
сахар;сладкие кристаллы
кислота;едкое вещество
ядро;центральная часть
клетка;единица жизни
вирус;возбудитель болезни
ген;носитель наследственности
ДНК;молекула наследственности
РНК;матрица для белка
код;система обозначений
чип;микроскопическая схема
провод;металлическая жила
мотор;источник движения
шар;идеально круглое тело
куб;геометрическое тело
свет;видимое излучение
звук;колебания среды
тепло;энергия движения молекул
холод;отсутствие тепла
сила;мера взаимодействия
путь;пройденное расстояние
вес;сила тяжести
объем;занимаемое пространство
скорость;быстрота движения
энергия;способность совершать работу

Easy:
молекула;частица вещества
протон;положительная частица
нейтрон;нейтральная частица
электрон;отрицательная частица
ион;заряженная частица
оксид;соединение с кислородом
спирт;органическое соединение, OH
щелочь;растворимое основание
фермент;биологический катализатор
гормон;регулятор в организме
витамин;незаменимое вещество
ткань;группа клеток
орган;часть организма
вид;биологическая единица
род;группа видов
система;совокупность элементов
программа;последовательность команд
файл;блок информации
папка;контейнер для файлов
браузер;программа для интернета
сайт;веб-страница
кнопка;элемент управления
экран;устройство отображения
курсор;указатель на экране
батарея;источник тока
роутер;сетевой маршрутизатор
модем;устройство связи
данные;информация
сервер;сетевой компьютер
клавиатура;устройство ввода
мышь;указательное устройство
диск;носитель информации
флешка;USB-накопитель
кабель;провод в оболочке
лампочка;источник света
линза;оптический элемент
призма;преломляет свет
зеркало;отражает свет
магнит;источник поля
компас;указатель севера
телескоп;прибор для наблюдения звезд
микроскоп;прибор для увеличения
термометр;измеритель температуры
весы;измеритель массы
лупа;увеличительное стекло
динамик;излучатель звука
микрофон;улавливатель звука
нагреватель;источник тепла
двигатель;преобразует энергию в движение
насос;перекачивает жидкости

Medium:
полимер;длинная молекула, цепь
электролит;проводящий раствор
изотоп;разновидность атома
квант;порция энергии
фотон;частица света
плазма;ионизированный газ
кристалл;упорядоченная структура
раствор;гомогенная смесь
катализатор;ускоряет реакцию
белок;биополимер, протеин
ферментация;брожение, окисление
метаболизм;обмен веществ
гомеостаз;постоянство внутренней среды
экосистема;сообщество организмов
биосфера;оболочка Земли
хромосома;носитель генов
мутация;изменение гена
биоценоз;сообщество организмов
алгоритм;последовательность действий
интерфейс;средство взаимодействия
процессор;мозг компьютера
оперативная_память;временное хранилище
жесткий_диск;постоянное хранилище
видеокарта;обработка графики
материнская_плата;основа компьютера
биос;базовая система ввода-вывода
драйвер;программа для устройства
компилятор;переводчик кода
скрипт;сценарий, программа
база_данных;хранилище информации
сеть;соединенные компьютеры
шифрование;защита информации
парсинг;анализ текста
интерпретатор;исполнитель кода
переменная;изменяемая величина
функция;блок кода
массив;набор данных
ускорение;изменение скорости
инерция;свойство сохранять движение
трение;сила сопротивления
давление;сила на площадь
вакуум;отсутствие вещества
полярность;разноименные полюса
диффузия;проникновение молекул
конвекция;перенос тепла
радиация;излучение
синтез;соединение элементов
анализ;разделение на элементы
окисление;отдача электронов
восстановление;прием электронов

Hard:
антивещество;противоположность вещества
бозон_Хиггса;частица, дающая массу
суперсимметрия;теория в физике
кварк;фундаментальная частица
лептон;легкая частица
адронный_коллайдер;ускоритель частиц
хромодинамика;теория сильного взаимодействия
стандартная_модель;теория частиц
редокс-потенциал;мера окисления
хемилюминесценция;холодное свечение
электропорация;поры в мембране
хроматография;разделение смесей
спектрофотометрия;измерение поглощения света
секвенирование;определение последовательности
криоэлектронная_микроскопия;микроскопия при низких температурах
транскриптомика;изучение РНК
протеомика;изучение белков
метагеномика;изучение геномов сообществ
генотипирование;определение генотипа
биоинформатика;анализ биоданных
